,Setor,Subsetor,Atividade
ADHM3,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
TIET11,Utilidade Pública , Energia Elétrica , Energia Elétrica
TIET3,Utilidade Pública , Energia Elétrica , Energia Elétrica
TIET4,Utilidade Pública , Energia Elétrica , Energia Elétrica
AFLT3,Utilidade Pública , Energia Elétrica , Energia Elétrica
ALEF3B,Outros , Outros , Outros
RPAD5,Financeiro , Intermediários Financeiros , Bancos
RPAD3,Financeiro , Intermediários Financeiros , Bancos
RPAD6,Financeiro , Intermediários Financeiros , Bancos
ALSC3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
ALPA3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Calçados
ALPA4,Consumo Cíclico , Tecidos. Vestuário e Calçados , Calçados
APER3,Financeiro , Previdência e Seguros , Corretoras de Seguros
,Consumo Cíclico , Diversos , Aluguel de carros
ALUP3,Utilidade Pública , Energia Elétrica , Energia Elétrica
ALUP11,Utilidade Pública , Energia Elétrica , Energia Elétrica
ALUP4,Utilidade Pública , Energia Elétrica , Energia Elétrica
ABEV3,Consumo não Cíclico , Bebidas , Cervejas e Refrigerantes
CBEE3,Utilidade Pública , Energia Elétrica , Energia Elétrica
CANT3B,Financeiro , Holdings Diversificadas , Holdings Diversificadas
CANT4B,Financeiro , Holdings Diversificadas , Holdings Diversificadas
ANIM3,Consumo Cíclico , Diversos , Serviços Educacionais
ARZZ3,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
CRFB3,Consumo não Cíclico , Comércio e Distribuição , Alimentos
ATOM3,Outros , Outros , Outros
AZEV4,Bens Industriais , Construção e Engenharia , Construção Pesada
AZEV3,Bens Industriais , Construção e Engenharia , Construção Pesada
AZUL4,Bens Industriais , Transporte , Transporte Aéreo
BTOW3,Consumo Cíclico , Comércio , Produtos Diversos
B3SA3,Financeiro , Serviços Financeiros Diversos , Serviços Financeiros Diversos
BAHI3,Consumo Cíclico , Diversos , Serviços Educacionais
BIDI4,Financeiro , Intermediários Financeiros , Bancos
BEES3,Financeiro , Intermediários Financeiros , Bancos
BEES4,Financeiro , Intermediários Financeiros , Bancos
BDLL3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
BDLL4,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
BTTL3,Financeiro , Holdings Diversificadas , Holdings Diversificadas
BALM4,Saúde , Equipamentos , Equipamentos
BALM3,Saúde , Equipamentos , Equipamentos
BBSE3,Financeiro , Previdência e Seguros , Seguradoras
BBML3,Bens Industriais , Serviços , Serviços Diversos
ABCB4,Financeiro , Intermediários Financeiros , Bancos
BRIV3,Financeiro , Intermediários Financeiros , Bancos
BRIV4,Financeiro , Intermediários Financeiros , Bancos
BAZA3,Financeiro , Intermediários Financeiros , Bancos
BBDC3,Financeiro , Intermediários Financeiros , Bancos
BBDC4,Financeiro , Intermediários Financeiros , Bancos
BBAS3,Financeiro , Intermediários Financeiros , Bancos
BBAS11,Financeiro , Intermediários Financeiros , Bancos
BBAS12,Financeiro , Intermediários Financeiros , Bancos
BPAC5,Financeiro , Intermediários Financeiros , Bancos
BPAC11,Financeiro , Intermediários Financeiros , Bancos
BPAC3,Financeiro , Intermediários Financeiros , Bancos
BGIP3,Financeiro , Intermediários Financeiros , Bancos
BGIP4,Financeiro , Intermediários Financeiros , Bancos
BPAR3,Financeiro , Intermediários Financeiros , Bancos
BRSR5,Financeiro , Intermediários Financeiros , Bancos
BRSR3,Financeiro , Intermediários Financeiros , Bancos
BRSR6,Financeiro , Intermediários Financeiros , Bancos
IDVL3,Financeiro , Intermediários Financeiros , Bancos
IDVL4,Financeiro , Intermediários Financeiros , Bancos
BMIN3,Financeiro , Intermediários Financeiros , Bancos
BMIN4,Financeiro , Intermediários Financeiros , Bancos
BMEB3,Financeiro , Intermediários Financeiros , Bancos
BMEB4,Financeiro , Intermediários Financeiros , Bancos
BNBR3,Financeiro , Intermediários Financeiros , Bancos
BPAN4,Financeiro , Intermediários Financeiros , Bancos
BPAT33,Financeiro , Intermediários Financeiros , Bancos
PINE3,Financeiro , Intermediários Financeiros , Bancos
PINE4,Financeiro , Intermediários Financeiros , Bancos
SANB3,Financeiro , Intermediários Financeiros , Bancos
SANB4,Financeiro , Intermediários Financeiros , Bancos
SANB11,Financeiro , Intermediários Financeiros , Bancos
BETP3B,Outros , Outros , Outros
BMKS3,Consumo Cíclico , Viagens e Lazer , Bicicletas
BIOM3,Saúde , Medicamentos e Outros Produtos , Medicamentos e Outros Produtos
BSEV3,Consumo não Cíclico , Alimentos Processados , Açucar e Alcool
GBIO33,Saúde , Medicamentos e Outros Produtos , Medicamentos e Outros Produtos
BKBR3,Consumo Cíclico , Hoteis e Restaurantes , Restaurante e Similares
BOBR3,Consumo não Cíclico , Produtos de Uso Pessoal e de Limpeza , Produtos de Limpeza
