index,Setor,Subsetor,Atividade
ADHM,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
TIET,Utilidade Pública , Energia Elétrica , Energia Elétrica
AFLT,Utilidade Pública , Energia Elétrica , Energia Elétrica
ALEF,Outros , Outros , Outros
RPAD,Financeiro , Intermediários Financeiros , Bancos
ALSC,Financeiro , Exploração de Imóveis , Exploração de Imóveis
ALPA,Consumo Cíclico , Tecidos. Vestuário e Calçados , Calçados
APER,Financeiro , Previdência e Seguros , Corretoras de Seguros
,Consumo Cíclico , Diversos , Aluguel de carros
ALUP,Utilidade Pública , Energia Elétrica , Energia Elétrica
ABEV,Consumo não Cíclico , Bebidas , Cervejas e Refrigerantes
CBEE,Utilidade Pública , Energia Elétrica , Energia Elétrica
CANT,Financeiro , Holdings Diversificadas , Holdings Diversificadas
ANIM,Consumo Cíclico , Diversos , Serviços Educacionais
ARZZ,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
CRFB,Consumo não Cíclico , Comércio e Distribuição , Alimentos
ATOM,Outros , Outros , Outros
AZEV,Bens Industriais , Construção e Engenharia , Construção Pesada
AZUL,Bens Industriais , Transporte , Transporte Aéreo
BTOW,Consumo Cíclico , Comércio , Produtos Diversos
B3SA,Financeiro , Serviços Financeiros Diversos , Serviços Financeiros Diversos
BAHI,Consumo Cíclico , Diversos , Serviços Educacionais
BIDI,Financeiro , Intermediários Financeiros , Bancos
BEES,Financeiro , Intermediários Financeiros , Bancos
BDLL,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
BTTL,Financeiro , Holdings Diversificadas , Holdings Diversificadas
BALM,Saúde , Equipamentos , Equipamentos
BBSE,Financeiro , Previdência e Seguros , Seguradoras
BBML,Bens Industriais , Serviços , Serviços Diversos
ABCB,Financeiro , Intermediários Financeiros , Bancos
BRIV,Financeiro , Intermediários Financeiros , Bancos
BAZA,Financeiro , Intermediários Financeiros , Bancos
BBDC,Financeiro , Intermediários Financeiros , Bancos
BBAS,Financeiro , Intermediários Financeiros , Bancos
BPAC,Financeiro , Intermediários Financeiros , Bancos
BGIP,Financeiro , Intermediários Financeiros , Bancos
BPAR,Financeiro , Intermediários Financeiros , Bancos
BRSR,Financeiro , Intermediários Financeiros , Bancos
IDVL,Financeiro , Intermediários Financeiros , Bancos
BMIN,Financeiro , Intermediários Financeiros , Bancos
BMEB,Financeiro , Intermediários Financeiros , Bancos
BNBR,Financeiro , Intermediários Financeiros , Bancos
BPAN,Financeiro , Intermediários Financeiros , Bancos
BPAT,Financeiro , Intermediários Financeiros , Bancos
PINE,Financeiro , Intermediários Financeiros , Bancos
SANB,Financeiro , Intermediários Financeiros , Bancos
BETP,Outros , Outros , Outros
BMKS,Consumo Cíclico , Viagens e Lazer , Bicicletas
BIOM,Saúde , Medicamentos e Outros Produtos , Medicamentos e Outros Produtos
BSEV,Consumo não Cíclico , Alimentos Processados , Açucar e Alcool
GBIO,Saúde , Medicamentos e Outros Produtos , Medicamentos e Outros Produtos
BKBR,Consumo Cíclico , Hoteis e Restaurantes , Restaurante e Similares
BOBR,Consumo não Cíclico , Produtos de Uso Pessoal e de Limpeza , Produtos de Limpeza
HCBR,Consumo Cíclico , Comércio , Produtos Diversos
BRML,Financeiro , Exploração de Imóveis , Exploração de Imóveis
BRPR,Financeiro , Exploração de Imóveis , Exploração de Imóveis
BRAP,Materiais Básicos , Mineração , Minerais Metálicos
BBRK,Financeiro , Exploração de Imóveis , Intermediação Imobiliária
AGRO,Consumo não Cíclico , Agropecuária , Agricultura
BRKM,Materiais Básicos , Químicos , Petroquímicos
BZRS,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
BSCS,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
BSLI,Financeiro , Intermediários Financeiros , Bancos
BRCS,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
BRFS,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
WTVR,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
BRQB,Tecnologia da Informação , Programas e Serviços , Programas e Serviços
CABI,Outros , Outros , Outros
CACO,Outros , Outros , Outros
CAMB,Consumo Cíclico , Tecidos. Vestuário e Calçados , Calçados
CAML,Consumo não Cíclico , Alimentos Processados , Alimentos Diversos
CPTP,Outros , Outros , Outros
CCRO,Bens Industriais , Transporte , Exploração de Rodovias
CCXC,Outros , Outros , Outros
RANI,Materiais Básicos , Madeira e Papel , Papel e Celulose
MAPT,Outros , Outros , Outros
ELET,Utilidade Pública , Energia Elétrica , Energia Elétrica
CLSC,Utilidade Pública , Energia Elétrica , Energia Elétrica
CELP,Utilidade Pública , Energia Elétrica , Energia Elétrica
AALR,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
CESP,Utilidade Pública , Energia Elétrica , Energia Elétrica
PCAR,Consumo não Cíclico , Comércio e Distribuição , Alimentos
CASN,Utilidade Pública , água e Saneamento , água e Saneamento
GPAR,Utilidade Pública , Energia Elétrica , Energia Elétrica
CEGR,Utilidade Pública , Gás , Gás
CEEB,Utilidade Pública , Energia Elétrica , Energia Elétrica
CEBR,Utilidade Pública , Energia Elétrica , Energia Elétrica
CMIG,Utilidade Pública , Energia Elétrica , Energia Elétrica
CEPE,Utilidade Pública , Energia Elétrica , Energia Elétrica
COCE,Utilidade Pública , Energia Elétrica , Energia Elétrica
ENMA,Utilidade Pública , Energia Elétrica , Energia Elétrica
CSRN,Utilidade Pública , Energia Elétrica , Energia Elétrica
CEED,Utilidade Pública , Energia Elétrica , Energia Elétrica
EEEL,Utilidade Pública , Energia Elétrica , Energia Elétrica
FESA,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
CEDO,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
CGAS,Utilidade Pública , Gás , Gás
HBTS,Financeiro , Exploração de Imóveis , Exploração de Imóveis
HGTX,Consumo Cíclico , Tecidos. Vestuário e Calçados , Vestuário
CATA,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
LCAM,Consumo Cíclico , Diversos , Aluguel de carros
MSPA,Materiais Básicos , Madeira e Papel , Papel e Celulose
CPLE,Utilidade Pública , Energia Elétrica , Energia Elétrica
PEAB,Financeiro , Holdings Diversificadas , Holdings Diversificadas
SBSP,Utilidade Pública , água e Saneamento , água e Saneamento
CSMG,Utilidade Pública , água e Saneamento , água e Saneamento
SAPR,Utilidade Pública , água e Saneamento , água e Saneamento
CSAB,Financeiro , Previdência e Seguros , Seguradoras
CSNA,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
CTNM,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
CTSA,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
CBSC,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
CIEL,Financeiro , Serviços Financeiros Diversos , Serviços Financeiros Diversos
CMSA,Outros , Outros , Outros
CNSY,Consumo Cíclico , Mídia , Produção e Difusão de Filmes e Programas
CRTE,Bens Industriais , Transporte , Exploração de Rodovias
ODER,Consumo não Cíclico , Alimentos Processados , Alimentos Diversos
BRGE,Financeiro , Previdência e Seguros , Seguradoras
CALI,Consumo Cíclico , Construção Civil , Incorporações
TEND,Consumo Cíclico , Construção Civil , Incorporações
CORR,Financeiro , Exploração de Imóveis , Exploração de Imóveis
RLOG,Bens Industriais , Transporte , Transporte Ferroviário
CSAN,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
CPFE,Utilidade Pública , Energia Elétrica , Energia Elétrica
CPRE,Utilidade Pública , Energia Elétrica , Energia Elétrica
CRDE,Consumo Cíclico , Construção Civil , Incorporações
CRPG,Materiais Básicos , Químicos , Químicos Diversos
CARD,Bens Industriais , Serviços , Serviços Diversos
CTCA,Consumo não Cíclico , Agropecuária , Agricultura
TRPL,Utilidade Pública , Energia Elétrica , Energia Elétrica
CVCB,Consumo Cíclico , Viagens e Lazer , Viagens e Turismo
CYRE,Consumo Cíclico , Construção Civil , Incorporações
CCPR,Financeiro , Exploração de Imóveis , Exploração de Imóveis
DASA,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
PNVL,Saúde , Comércio e Distribuição , Medicamentos e Outros Produtos
DIRR,Consumo Cíclico , Construção Civil , Incorporações
DOHL,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
DMMO,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
DTCY,Bens Industriais , Serviços , Serviços Diversos
DTEX,Materiais Básicos , Madeira e Papel , Madeira
ECOA,Não Classificados , Não Classificado , Não Classificados
ECOR,Bens Industriais , Transporte , Exploração de Rodovias
ENBR,Utilidade Pública , Energia Elétrica , Energia Elétrica
EALT,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
ELEK,Materiais Básicos , Químicos , Petroquímicos
EKTR,Utilidade Pública , Energia Elétrica , Energia Elétrica
LIPR,Utilidade Pública , Energia Elétrica , Energia Elétrica
ETRO,Outros , Outros , Outros
ELPL,Utilidade Pública , Energia Elétrica , Energia Elétrica
EMAE,Utilidade Pública , Energia Elétrica , Energia Elétrica
EMBR,Bens Industriais , Material de Transporte , Material Aeronáutico e de Defesa
ECPR,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
ENAT,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
ENMT,Utilidade Pública , Energia Elétrica , Energia Elétrica
ENGI,Utilidade Pública , Energia Elétrica , Energia Elétrica
ENEV,Utilidade Pública , Energia Elétrica , Energia Elétrica
EGIE,Utilidade Pública , Energia Elétrica , Energia Elétrica
EQTL,Utilidade Pública , Energia Elétrica , Energia Elétrica
ESTC,Consumo Cíclico , Diversos , Serviços Educacionais
ETER,Bens Industriais , Construção e Engenharia , Produtos para Construção
EUCA,Materiais Básicos , Madeira e Papel , Madeira
EVEN,Consumo Cíclico , Construção Civil , Incorporações
BAUH,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
EZTC,Consumo Cíclico , Construção Civil , Incorporações
VSPT,Bens Industriais , Transporte , Transporte Ferroviário
FHER,Materiais Básicos , Químicos , Fertilizantes e Defensivos
CRIV,Financeiro , Intermediários Financeiros , Soc. Crédito e Financiamento
FNCN,Financeiro , Intermediários Financeiros , Soc. Crédito e Financiamento
FLRY,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
FLEX,Bens Industriais , Serviços , Serviços Diversos
FRAS,Bens Industriais , Material de Transporte , Material Rodoviário
GFSA,Consumo Cíclico , Construção Civil , Incorporações
GAFL,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
OPGM,Outros , Outros , Outros
GSHP,Financeiro , Exploração de Imóveis , Exploração de Imóveis
GGBR,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
GOLL,Bens Industriais , Transporte , Transporte Aéreo
GPIV,Financeiro , Serviços Financeiros Diversos , Gestão de Recursos e Investimentos
GPCP,Materiais Básicos , Químicos , Petroquímicos
CGRA,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
